City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
185,Cidreira,BR,-30.1811,-50.2056,62.2,87,0,14.34,clear sky
186,Jalu,LY,29.0331,21.5482,76.66,55,0,12.1,clear sky
187,Kutum,SD,14.2,24.6667,80.58,41,100,5.93,overcast clouds
188,Nadym,RU,65.5333,72.5167,49.28,66,95,11.7,overcast clouds
189,Luanda,AO,-8.8368,13.2343,69.1,85,41,8.16,scattered clouds
190,Goderich,CA,43.7501,-81.7165,71.91,77,12,3.67,few clouds
191,Male,MV,4.1748,73.5089,82.2,75,31,10.38,scattered clouds
192,Muscat,OM,23.6139,58.5922,89.62,71,25,2.95,scattered clouds
193,Port-Cartier,CA,50.0334,-66.8654,62.74,74,100,4.07,overcast clouds
194,Kruisfontein,ZA,-34.0033,24.7314,55.89,69,47,24.56,light rain
195,Roebourne,AU,-20.7833,117.1333,71.58,56,5,8.72,clear sky
196,Thyolo,MW,-16.0678,35.1405,56.97,80,42,3.89,scattered clouds
197,Aykhal,RU,66.0,111.5,69.04,29,95,3.87,overcast clouds
198,Salym,RU,60.0625,71.4789,51.12,98,100,6.91,overcast clouds
199,Bumba,CD,2.1833,22.4667,74.26,79,100,0.96,overcast clouds
200,Gizo,SB,-8.103,156.8419,83.21,72,75,7.54,broken clouds
201,Santa Maria,BR,-29.6842,-53.8069,53.02,90,0,5.03,clear sky
202,Akhisar,TR,38.9185,27.8401,69.01,75,18,6.44,few clouds
203,Katsuura,JP,35.1333,140.3,62.62,90,100,17.85,light rain
204,Fort Nelson,CA,58.8053,-122.7002,74.35,21,54,4.14,broken clouds
205,Pingliang,CN,35.5392,106.6861,67.71,40,0,5.75,clear sky
206,Hanzhong,CN,33.0728,107.0303,70.81,72,32,1.05,scattered clouds
207,Bilibino,RU,68.0546,166.4372,58.69,31,0,10.0,clear sky
208,Necochea,AR,-38.5473,-58.7368,52.5,64,100,7.92,overcast clouds
209,Port Arthur,CN,38.8,121.2667,62.82,93,100,13.53,overcast clouds
210,Bredasdorp,ZA,-34.5322,20.0403,48.65,82,61,6.46,broken clouds
211,Saint-Georges,GD,12.0564,-61.7485,82.08,78,20,5.75,few clouds
212,Clyde River,CA,70.4692,-68.5914,36.82,73,61,6.55,broken clouds
213,Mehamn,NO,71.0357,27.8492,40.91,87,100,8.7,overcast clouds
214,Gorodovikovsk,RU,46.0878,41.9335,67.39,55,99,3.18,light rain
215,Airai,TL,-8.9266,125.4092,60.35,93,92,3.38,overcast clouds
216,Cabra,ES,37.4725,-4.4421,86.67,32,76,6.02,broken clouds
217,Pevek,RU,69.7008,170.3133,36.66,73,3,6.62,clear sky
218,Pontian Kecil,MY,1.4801,103.3899,77.27,85,100,5.3,overcast clouds
219,Zhigansk,RU,66.7697,123.3711,59.34,70,39,3.78,scattered clouds
220,Meulaboh,ID,4.1363,96.1285,74.46,96,97,0.43,overcast clouds
221,Lerwick,GB,60.1545,-1.1494,51.8,93,98,9.24,overcast clouds
222,Tautira,PF,-17.7333,-149.15,79.32,69,47,21.97,scattered clouds
223,Mount Gambier,AU,-37.8333,140.7667,53.51,100,100,12.66,light rain
224,Pacific Grove,US,36.6177,-121.9166,82.45,68,0,11.5,clear sky
225,Oranjemund,NA,-28.55,16.4333,54.61,86,3,2.08,clear sky
226,Wolkersdorf,AT,48.3833,16.5167,62.1,78,32,3.71,scattered clouds
227,Choszczno,PL,53.169,15.4205,51.24,88,69,6.13,broken clouds
228,La Primavera,CO,5.4906,-70.4092,69.12,91,94,3.06,overcast clouds
229,Iqaluit,CA,63.7506,-68.5145,44.33,76,75,3.44,broken clouds
230,Tuatapere,NZ,-46.1333,167.6833,44.06,87,100,14.07,light rain
231,Bahia Blanca,AR,-38.7196,-62.2724,51.98,53,100,4.99,overcast clouds
232,Bira,RU,49.0,132.4667,67.84,66,100,1.36,overcast clouds
233,Del Rio,US,29.3627,-100.8968,100.42,32,0,21.0,clear sky
234,Bafq,IR,31.6128,55.4107,88.59,15,21,2.21,few clouds
235,Boissevain,CA,49.2306,-100.0559,64.9,78,73,14.97,broken clouds
236,Kulhudhuffushi,MV,6.6221,73.07,82.58,75,23,13.47,few clouds
237,Sijunjung,ID,-0.6876,100.9537,69.01,98,80,2.35,broken clouds
238,Mandalgovi,MN,45.7625,106.2708,61.54,61,94,11.61,overcast clouds
239,Aleksandrov Gay,RU,50.147,48.5704,65.26,51,0,8.32,clear sky
240,Thompson,CA,55.7435,-97.8558,77.07,44,100,13.47,overcast clouds
241,Garissa,KE,-0.4536,39.6401,73.6,85,4,13.38,clear sky
242,Rathdrum,US,47.8137,-116.892,56.21,78,100,12.66,overcast clouds
