City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
621,Taybad,IR,83.86,clear sky,34.74,60.7756,لی پوش jean center
637,Kudahuvadhoo,MV,82.74,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
639,Alyangula,AU,75.97,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
640,San Andres,CO,80.62,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
647,Pontianak,ID,75.18,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
648,Thongwa,MM,78.96,light rain,16.7619,96.5278,Mhaw Wun Marlar Park
649,Moroni,KM,75.4,clear sky,-11.7022,43.2551,Hotel Les Arcades
650,Kousseri,CM,89.91,broken clouds,12.0769,15.0306,Le Pilotis
651,Dwarka,IN,84.42,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
652,Chatrapur,IN,84.24,overcast clouds,19.35,84.9833,Circuit House
653,Buala,SB,82.78,light rain,-8.145,159.5921,Maringe Lagoon Lodge
654,Maragogi,BR,76.06,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
656,Greensburg,US,81.46,clear sky,40.3015,-79.5389,Courtyard by Marriott Pittsburgh Greensburg
664,Coahuayana,MX,85.53,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
668,Santa Rosa,PH,84.18,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
670,Dutse,NG,79.36,overcast clouds,11.7594,9.3392,Central Mosque Galamawa
676,Tampakan,PH,76.44,overcast clouds,6.4442,124.9264,Green Palm Resort
678,Pinotepa Nacional,MX,81.9,broken clouds,16.3167,-98.0167,Hotel Maria Del Carmen
679,Sabzevar,IR,79.88,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
680,Singapore,SG,78.84,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
682,Akyab,MM,80.94,moderate rain,20.15,92.9,Hotel Memory
693,Aguilas,ES,79.2,broken clouds,37.4063,-1.5829,Hotel Carlos III
694,Aron,IN,84.51,overcast clouds,24.3833,77.4167,Shri Ram marriage garden aron
696,Yendi,GH,79.36,overcast clouds,9.4427,-0.0099,Eyarro Lodge
697,Mogadishu,SO,78.44,overcast clouds,2.0371,45.3438,Hotel Juba
698,Katra,IN,78.94,clear sky,32.9833,74.95,KC Residency Katra (4 Star) Experience the Luxuries of a 5 Star
699,Ishigaki,JP,84.33,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
702,Esna,EG,85.1,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
705,Shache,CN,76.71,scattered clouds,38.4167,77.2406,Delong Hotel
706,Kamalapuram,IN,86.4,heavy intensity rain,14.5833,78.65,Arya visha hotel
